PATH,NAME,ROWNUMBER,ERROR,PARTITION,prc_date,batch_no,tna_dt,segaty_cd,orgtkt_dt,scbpcc,crepnrpcc,tkt_chnl,tcn_nbr,tkt_nbr,cpn_nbr,flt_nr,asc_cd,ine_cd,ascbll_ind,gov_carr_cd,bill_to_cd,platform,part_number,pricing_date,nbr_tkt_tna,tbidt_chnl,edit_profile,nbr_edits,nbr_asc_edits,nbr_sub_edits,nbr_midt_edits,nbr_tkt_edits,busev_profile,nbr_busevn,bllcyc_mth,BLL_RGN_CD_ALT,CURRENCY_CODE,CRY_CD_ALT,PUB_UNIT_PRICE,USD_UNIT_PRICE,TKT_QTY,udf1,udf2,udf3,udf4,load_date,INSERT_TIMESTAMP,PARTITION_DATE
/home/dpaadm/airbilling/sa/tcn/landing,PSSCOMI.PCI004.TCN.20220605.0034.B01.00.sa.sdwd.tcn,43354,,4,2022-06-05,00001,2022-06-04,I,2022-06-04,S5KJ,,T,0011184047960,1565042485785,1,03131,2I,2I,Y,2I,2I,PS,2I SATKEECDEPSI,2022-06-01,1,,NONE_APPLIED,0,0,0,0,0,NONE_APPLIED,0,202206,EEC,UNK,DE,0,0,1,,,,,2022-06-07,2023-01-18 11:34:16 UTC,2022-06-01
/home/dpaadm/airbilling/sa/tcn/landing,PSSCOMI.PCI004.TCN.20220605.0034.B01.00.sa.sdwd.tcn,43355,,5,2022-06-05,00001,2022-06-04,I,2022-06-04,S5KJ,,T,0011184047970,1565042485786,1,03131,2I,2I,Y,2I,2I,PS,2I SATKEECDEPSI,2022-06-01,1,,NONE_APPLIED,0,0,0,0,0,NONE_APPLIED,0,202206,EEC,UNK,DE,0,0,1,,,,,2022-06-07,2023-01-18 11:34:16 UTC,2022-06-01
/home/dpaadm/airbilling/sa/tcn/landing,PSSCOMI.PCI004.TCN.20220605.0034.B01.00.sa.sdwd.tcn,159963,,3,2022-06-05,00001,2022-06-04,I,2022-06-04,7YSA,,E,0017651487830,1566750108607,1,03144,2I,2I,Y,2I,2I,PS,2I SATKEECDEPSI,2022-06-01,1,,NONE_APPLIED,0,0,0,0,0,NONE_APPLIED,0,202206,EEC,UNK,DE,0,0,1,,,,,2022-06-07,2023-01-18 11:34:16 UTC,2022-06-01
/home/dpaadm/airbilling/sa/tcn/landing,PSSCOMI.PCI004.TCN.20220325.0030.B01.00.sa.sdwd.tcn,164867,,7,2022-03-25,00001,2022-03-24,I,2022-03-24,2U8G,,T,0014184042470,1565866399523,1,03243,2I,2I,Y,2I,2I,PS,2I SATKEECESPSI,2022-02-01,1,,NONE_APPLIED,0,0,0,0,0,NONE_APPLIED,0,202203,EEC,UNK,ES,0,0,1,,,,,2022-03-27,2023-01-18 11:34:15 UTC,2022-03-01
/home/dpaadm/airbilling/sa/tcn/landing,PSSCOMI.PCI004.TCN.20220325.0030.B01.00.sa.sdwd.tcn,164868,,8,2022-03-25,00001,2022-03-24,I,2022-03-24,2U8G,,T,0014184042480,1565866399524,1,03243,2I,2I,Y,2I,2I,PS,2I SATKEECESPSI,2022-02-01,1,,NONE_APPLIED,0,0,0,0,0,NONE_APPLIED,0,202203,EEC,UNK,ES,0,0,1,,,,,2022-03-27,2023-01-18 11:34:15 UTC,2022-03-01
/home/dpaadm/airbilling/sa/tcn/landing,PSSCOMI.PCI004.TCN.20220325.0030.B01.00.sa.sdwd.tcn,94477,,7,2022-03-25,00001,2022-03-25,I,2022-03-25,2U8G,,T,0011075449670,1565866400453,1,02123,2I,2I,Y,2I,2I,PS,2I SATKEECESPSI,2022-02-01,1,,NONE_APPLIED,0,0,0,0,0,NONE_APPLIED,0,202203,EEC,UNK,ES,0,0,1,,,,,2022-03-27,2023-01-18 11:34:15 UTC,2022-03-01
/home/dpaadm/airbilling/sa/tcn/landing,PSSCOMI.PCI004.TCN.20220325.0030.B01.00.sa.sdwd.tcn,6681,,1,2022-03-25,00001,2022-03-24,I,2022-03-24,37S2,,T,0010765018370,1563989008227,1,03143,2I,2I,Y,2I,2I,PS,2I SATKEECGBPSI,2022-02-01,1,,NONE_APPLIED,0,0,0,0,0,NONE_APPLIED,0,202203,EEC,UNK,GB,0,0,1,,,,,2022-03-27,2023-01-18 11:34:15 UTC,2022-03-01
/home/dpaadm/airbilling/sa/tcn/landing,PSSCOMI.PCI004.TCN.20220325.0030.B01.00.sa.sdwd.tcn,117814,,4,2022-03-25,00001,2022-03-24,I,2022-03-24,56VI,,T,0013464063240,1563989012271,1,03160,2I,2I,Y,2I,2I,PS,2I SATKEECGBPSI,2022-02-01,1,,NONE_APPLIED,0,0,0,0,0,NONE_APPLIED,0,202203,EEC,UNK,GB,0,0,1,,,,,2022-03-27,2023-01-18 11:34:16 UTC,2022-03-01
/home/dpaadm/airbilling/sa/tcn/landing,PSSCOMI.PCI004.TCN.20220325.0030.B01.00.sa.sdwd.tcn,117971,,1,2022-03-25,00001,2022-03-24,I,2022-03-24,56VI,,T,0013464068440,1563989012286,1,03116,2I,2I,Y,2I,2I,PS,2I SATKEECGBPSI,2022-02-01,1,,NONE_APPLIED,0,0,0,0,0,NONE_APPLIED,0,202203,EEC,UNK,GB,0,0,1,,,,,2022-03-27,2023-01-18 11:34:15 UTC,2022-03-01
/home/dpaadm/airbilling/sa/tcn/landing,PSSCOMI.PCI004.TCN.20220325.0030.B01.00.sa.sdwd.tcn,169180,,0,2022-03-25,00001,2022-03-24,I,2022-03-24,56VI,,T,0014184178070,1563989012316,1,02225,2I,2I,Y,2I,2I,PS,2I SATKEECGBPSI,2022-02-01,1,,NONE_APPLIED,0,0,0,0,0,NONE_APPLIED,0,202203,EEC,UNK,GB,0,0,1,,,,,2022-03-27,2023-01-18 11:34:14 UTC,2022-03-01
/home/dpaadm/airbilling/sa/tcn/landing,PSSCOMI.PCI004.TCN.20220325.0030.B01.00.sa.sdwd.tcn,169181,,1,2022-03-25,00001,2022-03-24,I,2022-03-24,56VI,,T,0014184178080,1563989012317,1,02225,2I,2I,Y,2I,2I,PS,2I SATKEECGBPSI,2022-02-01,1,,NONE_APPLIED,0,0,0,0,0,NONE_APPLIED,0,202203,EEC,UNK,GB,0,0,1,,,,,2022-03-27,2023-01-18 11:34:15 UTC,2022-03-01
/home/dpaadm/airbilling/sa/tcn/landing,PSSCOMI.PCI004.TCN.20220325.0030.B01.00.sa.sdwd.tcn,78964,,4,2022-03-25,00001,2022-03-24,I,2022-03-24,56VI,,T,0011074829880,1563989012445,1,02225,2I,2I,Y,2I,2I,PS,2I SATKEECGBPSI,2022-02-01,1,,NONE_APPLIED,0,0,0,0,0,NONE_APPLIED,0,202203,EEC,UNK,GB,0,0,1,,,,,2022-03-27,2023-01-18 11:34:16 UTC,2022-03-01
/home/dpaadm/airbilling/sa/tcn/landing,PSSCOMI.PCI004.TCN.20220325.0030.B01.00.sa.sdwd.tcn,80239,,9,2022-03-25,00001,2022-03-24,I,2022-03-24,56VI,,T,0011074877230,1563989017722,1,03161,2I,2I,Y,2I,2I,PS,2I SATKEECGBPSI,2022-02-01,1,,NONE_APPLIED,0,0,0,0,0,NONE_APPLIED,0,202203,EEC,UNK,GB,0,0,1,,,,,2022-03-27,2023-01-18 11:34:15 UTC,2022-03-01
/home/dpaadm/airbilling/sa/tcn/landing,PSSCOMI.PCI004.TCN.20220325.0030.B01.00.sa.sdwd.tcn,390836,,6,2022-03-25,00001,2022-03-24,I,2022-03-24,56VI,,T,0018641678750,1563989017733,1,02124,2I,2I,Y,2I,2I,PS,2I SATKEECGBPSI,2022-02-01,1,,NONE_APPLIED,0,0,0,0,0,NONE_APPLIED,0,202203,EEC,UNK,GB,0,0,1,,,,,2022-03-27,2023-01-18 11:34:15 UTC,2022-03-01
/home/dpaadm/airbilling/sa/tcn/landing,PSSCOMI.PCI004.TCN.20220325.0030.B01.00.sa.sdwd.tcn,238335,,5,2022-03-25,00001,2022-03-24,I,2022-03-24,56VI,,T,0015755984620,1563989017735,1,02225,2I,2I,Y,2I,2I,PS,2I SATKEECGBPSI,2022-02-01,1,,NONE_APPLIED,0,0,0,0,0,NONE_APPLIED,0,202203,EEC,UNK,GB,0,0,1,,,,,2022-03-27,2023-01-18 11:34:16 UTC,2022-03-01
/home/dpaadm/airbilling/sa/tcn/landing,PSSCOMI.PCI004.TCN.20220325.0030.B01.00.sa.sdwd.tcn,286664,,4,2022-03-25,00001,2022-03-24,I,2022-03-24,56VI,,T,0016259048480,1563989017787,1,03243,2I,2I,Y,2I,2I,PS,2I SATKEECGBPSI,2022-02-01,1,,NONE_APPLIED,0,0,0,0,0,NONE_APPLIED,0,202203,EEC,UNK,GB,0,0,1,,,,,2022-03-27,2023-01-18 11:34:16 UTC,2022-03-01
/home/dpaadm/airbilling/sa/tcn/landing,PSSCOMI.PCI004.TCN.20220325.0030.B01.00.sa.sdwd.tcn,286687,,7,2022-03-25,00001,2022-03-24,I,2022-03-24,56VI,,T,0016259049660,1563989017788,1,03244,2I,2I,Y,2I,2I,PS,2I SATKEECGBPSI,2022-02-01,1,,NONE_APPLIED,0,0,0,0,0,NONE_APPLIED,0,202203,EEC,UNK,GB,0,0,1,,,,,2022-03-27,2023-01-18 11:34:15 UTC,2022-03-01
/home/dpaadm/airbilling/sa/tcn/landing,PSSCOMI.PCI004.TCN.20220325.0030.B01.00.sa.sdwd.tcn,187511,,1,2022-03-25,00001,2022-03-24,I,2022-03-24,56VI,,T,0014184750520,1563989017807,1,03243,2I,2I,Y,2I,2I,PS,2I SATKEECGBPSI,2022-02-01,1,,NONE_APPLIED,0,0,0,0,0,NONE_APPLIED,0,202203,EEC,UNK,GB,0,0,1,,,,,2022-03-27,2023-01-18 11:34:15 UTC,2022-03-01
/home/dpaadm/airbilling/sa/tcn/landing,PSSCOMI.PCI004.TCN.20220325.0030.B01.00.sa.sdwd.tcn,344833,,3,2022-03-25,00001,2022-03-24,I,2022-03-24,56VI,,T,0017552844350,1563989017938,1,02124,2I,2I,Y,2I,2I,PS,2I SATKEECGBPSI,2022-02-01,1,,NONE_APPLIED,0,0,0,0,0,NONE_APPLIED,0,202203,EEC,UNK,GB,0,0,1,,,,,2022-03-27,2023-01-18 11:34:15 UTC,2022-03-01
